Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode,Price/meter,Coeficient,Average
785726.0,76.83081408000002,1,3,38.91745495,-77.03901058,7,2018,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,10226.704082321234,1.0543755173813454,9699.299645841882
393300.0,76.83081408000002,1,3,38.91745423,-77.03874144,6,2003,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,5119.039863230873,0.5277741744400505,9699.299645841882
589950.0,76.83081408000002,2,3,38.9176707,-77.03901092,10,2006,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,7678.55979484631,0.7916612616600758,9699.299645841882
769120.0,76.83081408000002,1,3,38.91767002,-77.03915587,6,2017,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,10010.566843651486,1.0320917189049876,9699.299645841882
332120.0,89.18691840000002,1,4,38.91767133,-77.03981775,3,2000,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,3723.8645079142,0.38393127791557935,9699.299645841882
451858.0,89.18691840000002,2,4,38.91767122,-77.03987345,4,2008,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,5066.415659451688,0.5223486070588277,9699.299645841882
262200.0,104.0514048,1,2,38.91794857,-77.03993114,1,2007,United States,Dupont Circle,V Street Northwest,Not found,District of Columbia,20009,2519.908313626151,0.25980312039400116,9699.299645841882
284050.0,137.31069312,1,4,38.91615647,-77.03685568,3,1996,United States,Dupont Circle,16th Street Northwest,Not found,District of Columbia,20012,2068.6662746051397,0.21327996351695175,9699.299645841882
917700.0,157.19194368,3,3,38.91609872,-77.03687064,12,2001,United States,Dupont Circle,16th Street Northwest,Not found,District of Columbia,20012,5838.085454736709,0.6019079385014683,9699.299645841882
328187.0,172.7996544,4,4,38.91318539,-77.0381053,9,1995,United States,Dupont Circle,Riggs Place Northwest,Not found,District of Columbia,20009,1899.234122542319,0.19581147009480485,9699.299645841882
1092500.0,172.7996544,3,5,38.91318384,-77.03788599,4,2012,United States,Dupont Circle,Riggs Place Northwest,Not found,District of Columbia,20009,6322.350607664178,0.6518357859347699,9699.299645841882
253460.0,172.7996544,2,4,38.91320904,-77.03766970000002,9,1992,United States,Dupont Circle,Riggs Place Northwest,Not found,District of Columbia,20009,1466.7853409780894,0.1512259023368666,9699.299645841882
343482.0,172.70675136,3,5,38.91319695,-77.03745269,7,1996,United States,Dupont Circle,Riggs Place Northwest,Not found,District of Columbia,20009,1988.8162871179607,0.20504741164178508,9699.299645841882
1092500.0,172.70675136,3,3,38.91349774,-77.03744974,2,2017,United States,Dupont Circle,Riggs Place Northwest,Not found,District of Columbia,20009,6325.751549357381,0.6521864237970263,9699.299645841882
266570.0,111.483648,2,4,38.91378639,-77.03820767,6,2009,United States,Dupont Circle,17th Street Northwest,Not found,District of Columbia,20009,2391.112999818592,0.24652429424052993,9699.299645841882
1117374.04,111.483648,3,5,38.91389206,-77.03820818,5,2015,United States,Dupont Circle,17th Street Northwest,Not found,District of Columbia,20009,10022.761723764188,1.0333490138188457,9699.299645841882
523613.4,33.63090048,2,2,38.89974975,-77.05300714,5,2017,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,15569.413620411035,1.8033542133412859,8633.58596177495
530081.0,148.64486399999998,2,2,38.90050869,-77.0530416,11,2003,United States,Foggy Bottom,I Street Northwest,Not found,District of Columbia,20037,3566.090248499942,0.4130485599250119,8633.58596177495
700074.0,104.70172608,2,2,38.90051703,-77.05292978,9,2012,United States,Foggy Bottom,I Street Northwest,Not found,District of Columbia,20037,6686.365413547153,0.7744598181046576,8633.58596177495
745085.0,129.41393472,2,3,38.90051692,-77.05297923,4,2015,United States,Foggy Bottom,I Street Northwest,Not found,District of Columbia,20037,5757.378458603133,0.6668583001424698,8633.58596177495
1114350.0,92.62433088,3,3,38.90053454,-77.05164393,7,2007,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,12030.856141284332,1.3934946839645468,8633.58596177495
926440.0,81.10435392000002,2,2,38.90048101,-77.05170141,7,2014,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,11422.814623661572,1.3230672253957838,8633.58596177495
270940.0,77.75984448,3,3,38.90038953,-77.0517968,8,1995,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,3484.317668223814,0.40357710963330523,8633.58596177495
546250.0,122.91072192,2,3,38.90810133,-77.04904466,4,2008,United States,Dupont Circle,22nd Street Northwest,Not found,District of Columbia,20036,4444.282740081395,0.4582065615414482,9699.299645841882
1026950.0,110.5546176,4,5,38.91720202,-77.04001052,2,2014,United States,Dupont Circle,U Street Northwest,Not found,District of Columbia,20009,9289.073783563066,0.9577056202759258,9699.299645841882
659870.0,89.18691840000002,1,3,38.91744877,-77.0402279,7,2013,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,7398.730798619003,0.7628108284901642,9699.299645841882
141588.0,89.18691840000002,1,3,38.91744733,-77.0397218,3,1994,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,1587.5422375844748,0.1636759658482207,9699.299645841882
466716.0,89.18691840000002,2,3,38.91744735,-77.03966553,4,2009,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,5233.009597963639,0.5395244800182089,9699.299645841882
895850.0,95.41142208,4,4,38.91174893,-77.03806475,11,2006,United States,Dupont Circle,Corcoran Street Northwest,Not found,District of Columbia,20009,9389.337046552488,0.9680427854992317,9699.299645841882
240350.0,116.50041216,1,2,38.91176266,-77.03741204,9,1992,United States,Dupont Circle,Corcoran Street Northwest,Not found,District of Columbia,20009,2063.0828298693636,0.21270430909450389,9699.299645841882
415150.0,116.50041216,1,2,38.91175547,-77.0373575,7,2011,United States,Dupont Circle,Corcoran Street Northwest,Not found,District of Columbia,20009,3563.5067061379914,0.36739835207232485,9699.299645841882
654626.0,116.50041216,2,2,38.91174846,-77.03731242,8,2010,United States,Dupont Circle,Corcoran Street Northwest,Not found,District of Columbia,20009,5619.087416626012,0.5793291909519396,9699.299645841882
327750.0,170.01256320000005,2,3,38.91243428,-77.03725351,2,1999,United States,Dupont Circle,R Street Northwest,Not found,District of Columbia,20009,1927.7987098779292,0.19875648554732323,9699.299645841882
270940.0,80.63983872,1,2,38.909195200000006,-77.03822769,5,1997,United States,Dupont Circle,17th Street Northwest,Not found,District of Columbia,20009,3359.877751501535,0.34640416052533485,9699.299645841882
1026950.0,85.84240896,3,4,38.90927583,-77.03821251,8,2011,United States,Dupont Circle,17th Street Northwest,Not found,District of Columbia,20009,11963.201084891829,1.2334087533856621,9699.299645841882
887110.0,102.47205312,3,3,38.90946181,-77.03804209,8,2009,United States,Dupont Circle,P Street Northwest,Not found,District of Columbia,20036,8657.092085011207,0.8925481633844076,9699.299645841882
1057540.0,109.90429632,3,3,38.9094732,-77.03792956,7,2006,United States,Dupont Circle,P Street Northwest,Not found,District of Columbia,20036,9622.371785365342,0.9920687200843908,9699.299645841882
327750.0,107.7675264,3,2,38.90947187,-77.03787215,2,1997,United States,Dupont Circle,P Street Northwest,Not found,District of Columbia,20036,3041.2686543763893,0.31355549013069106,9699.299645841882
592834.2,130.064256,3,4,38.91576431,-77.03489744,8,2003,United States,Dupont Circle,T Street Northwest,Not found,District of Columbia,20060,4558.010157686982,0.46993188416866927,9699.299645841882
821560.0,87.23595456000002,2,5,38.90837744,-77.04902225,9,2015,United States,Dupont Circle,22nd Street Northwest,Not found,District of Columbia,20036,9417.676509001105,0.9709645905246871,9699.299645841882
978880.0,108.04623552,3,4,38.90832727,-77.04901749,1,2017,United States,Dupont Circle,22nd Street Northwest,Not found,District of Columbia,20036,9059.82513216579,0.9340700321646175,9699.299645841882
323380.0,89.18691840000002,2,3,38.89706302,-77.04906358,8,1994,United States,Foggy Bottom,22nd Street Northwest,Not found,District of Columbia,20008,3625.868073495405,0.4199724297121581,8633.58596177495
511290.0,137.68230528,2,4,38.91314114,-77.04683857,9,1994,United States,Dupont Circle,21st Street Northwest,Not found,District of Columbia,20009,3713.5490937648538,0.3828677563701069,9699.299645841882
546250.0,97.73399808,1,2,38.91297934,-77.04709697,1,2008,United States,Dupont Circle,Florida Avenue Northwest,Not found,District of Columbia,20009,5589.150252022515,0.5762426624708517,9699.299645841882
703570.0,89.93014272,2,2,38.91303458,-77.04704939,8,2016,United States,Dupont Circle,Florida Avenue Northwest,Not found,District of Columbia,20009,7823.516995748408,0.8066063820496949,9699.299645841882
511290.0,73.11469248,1,2,38.91289536,-77.04714258,1,2005,United States,Dupont Circle,Florida Avenue Northwest,Not found,District of Columbia,20009,6992.985714052749,0.7209784179675965,9699.299645841882
498180.0,95.59722816,3,4,38.91338131,-77.04682397,6,1998,United States,Dupont Circle,21st Street Northwest,Not found,District of Columbia,20009,5211.238961512585,0.5372799224474581,9699.299645841882
126144.42,89.18691840000002,1,3,38.91744731,-77.0394958,8,1992,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,1414.3825379664645,0.14582316142514623,9699.299645841882
466716.0,89.18691840000002,1,3,38.91744726,-77.03938429,10,2005,United States,Dupont Circle,Seaton Street Northwest,Not found,District of Columbia,20009,5233.009597963639,0.5395244800182089,9699.299645841882
638020.0,105.25914432,2,3,38.9179437,-77.03941063,12,2010,United States,Dupont Circle,V Street Northwest,Not found,District of Columbia,20009,6061.4211156832625,0.6249338959521487,9699.299645841882
626216.63,105.25914432,1,3,38.91793365,-77.03929692,10,2008,United States,Dupont Circle,V Street Northwest,Not found,District of Columbia,20009,5949.2848250431225,0.6133726188770339,9699.299645841882
498180.0,148.64486399999998,3,4,38.91613939,-77.04056778,6,2001,United States,Dupont Circle,Willard Street Northwest,Not found,District of Columbia,20009,3351.478057122781,0.34553815012402156,9699.299645841882
760380.0,148.64486399999998,1,4,38.91613797,-77.04049629,4,2010,United States,Dupont Circle,Willard Street Northwest,Not found,District of Columbia,20009,5115.413876661087,0.5274003343998224,9699.299645841882
