Price,Area,Baths,Beds,Latitude,Longitude,Date
34960.0,55.0,2.0,2.0,-12.063501,-77.0210721,02/2020
218500.0,120.0,2.0,2.0,-12.0981309,-77.0683305,02/2020
65550.0,63.0,1.0,2.0,-12.1469512,-76.9897641,02/2020
187910.0,128.0,2.0,2.0,-12.1109635,-76.9708104,02/2020
85652.0,82.0,2.0,2.0,-12.1667875,-76.9948579,02/2020
260.4,150.0,1.0,2.0,-11.9815573,-77.096882,02/2020
108376.0,95.0,2.0,3.0,-12.0596805,-76.9404891,02/2020
218500.0,159.0,2.0,3.0,-12.0880537625,-77.0451145963,02/2020
109250.0,96.0,2.0,3.0,-12.1414944,-77.0171071,02/2020
113620.0,96.0,2.0,3.0,-12.1438418,-77.0143667,02/2020
390.6,75.0,2.0,3.0,-12.1210535,-77.0026327,02/2020
60306.0,62.0,2.0,3.0,-12.1763035,-76.9966485,02/2020
58558.0,62.0,2.0,3.0,-12.1737324,-76.9999427,02/2020
126730.0,160.0,3.0,3.0,-12.2053917,-77.0143723,02/2020
2185.0,200.0,2.0,3.0,-12.1836564525,-77.0001791057,02/2020
326349.555,256.0,4.0,3.0,-12.1321343647,-77.021665846,02/2020
830.3,110.0,2.0,3.0,-12.1299071,-77.0332367,02/2020
917.7,150.0,3.0,3.0,-12.0975054,-77.0564031,02/2020
117990.0,76.0,2.0,3.0,-12.0872913,-77.0225352,02/2020
874.0,113.0,3.0,3.0,-12.0969597,-77.0719805,02/2020
122360.0,99.0,1.0,3.0,-12.09462,-77.0761321,02/2020
393300.0,302.0,3.0,3.0,-12.1186557,-76.9930293,02/2020
917.7,153.0,3.0,3.0,-12.1286132,-76.9689445,02/2020
152950.0,96.0,2.0,3.0,-12.142674,-77.001245,02/2020
434.0,60.0,1.0,4.0,-12.183624991,-77.0001522836,02/2020
683.55,125.0,3.0,4.0,-12.1197243,-77.0245622,02/2020
135470.0,107.0,1.0,4.0,-12.1003705,-77.0151669,02/2020
122360.0,87.0,2.0,4.0,-12.0920265339,-77.0779301816,02/2020
174800.0,120.0,3.0,4.0,-12.1431113,-76.9866939,02/2020
131100.0,183.0,3.0,4.0,-12.0322630363,-77.0533202741,02/2020
117990.0,190.0,2.0,4.0,-12.0202783817,-77.0123722312,02/2020
172702.4,160.0,2.0,5.0,-11.9979827,-77.0742668,02/2020
113620.0,50.0,4.0,5.0,-12.0066593,-77.0647131,02/2020
85652.0,157.0,4.0,5.0,-12.0889258,-77.077874,02/2020
41952.0,70.0,1.0,0.0,-12.0796862,-77.0593231,03/2020
375.82,20.0,1.0,2.0,-12.1376913443,-77.0224055509,03/2020
368.9,140.0,1.0,2.0,-12.0678757,-77.1028886,03/2020
26220.0,47.0,1.0,2.0,-11.9995592674,-77.0853415497,03/2020
542.5,120.0,1.0,3.0,-12.1515335,-76.986808,03/2020
119738.0,168.0,1.0,3.0,-11.961181132,-76.9841784349,03/2020
116242.0,90.0,1.0,3.0,-12.110431,-77.001639,03/2020
161690.0,98.0,1.0,3.0,-12.1018535765,-76.9713399841,03/2020
575.05,84.0,1.0,3.0,-12.0812651,-77.1061692,03/2020
83030.0,103.0,1.0,4.0,-12.0773409759,-77.0202990032,03/2020
131100.0,103.0,2.0,0.0,-12.0033547013,-77.083514727,03/2020
1311.0,158.0,2.0,1.0,-11.9971413,-77.0939115,03/2020
