Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
4472,122360.0,48.0,1.0,2.0,-34.902955,-56.170229,6,2019,Uruguay,Parque Rodó,Joaquín de Salterain,Not found,Montevideo,1200.0
4473,270940.0,135.0,2.0,2.0,-34.895301,-56.091965,6,2019,Uruguay,Malvín Nuevo,Rambla,Not found,Montevideo,11403.0
4474,100510.0,50.0,1.0,2.0,-34.892977,-56.168296,6,2019,Uruguay,Tres Cruces,Goes,Not found,Montevideo,1200.0
4475,126642.6,55.0,1.0,2.0,-34.880756,-56.157303,6,2019,Uruguay,Larrañaga,Monte Caseros,Not found,Montevideo,11820.0
4476,135470.0,76.0,1.0,2.0,-34.886987,-56.160886,6,2019,Uruguay,Larrañaga,Juan Ramón Gómez,Not found,Montevideo,11820.0
4477,137130.6,64.0,1.0,2.0,-34.883502,-56.15593,6,2019,Uruguay,Larrañaga,Pedro Olmida,Not found,Montevideo,11820.0
4478,155484.6,62.0,1.0,2.0,-34.879066,-56.154642,6,2019,Uruguay,Larrañaga,Monte Caseros,Not found,Montevideo,11820.0
4479,126642.6,57.0,1.0,2.0,-34.883502,-56.156402,6,2019,Uruguay,Larrañaga,Pedro Olmida,Not found,Montevideo,11820.0
4480,157757.0,70.0,1.0,2.0,-34.903362,-56.160058,6,2019,Uruguay,Pocitos,Avenida General Rivera,Not found,Montevideo,11601.0
4481,216752.0,83.0,2.0,2.0,-34.921795,-56.161015,6,2019,Uruguay,Punta Carretas,Francisco Solano García,Not found,Montevideo,11303.0
4482,415150.0,205.0,1.0,3.0,-34.911391,-56.161579,6,2019,Uruguay,Parque Rodó,Bulevar España,Not found,Montevideo,11311.0
4483,208886.0,147.0,2.0,3.0,-34.888338,-56.184074,6,2019,Uruguay,Villa Muñoz,Isidoro de María,Not found,Montevideo,11800.0
4484,126730.0,74.0,1.0,3.0,-34.902378,-56.17184,6,2019,Uruguay,Cordón,Avenida General Rivera,Not found,Montevideo,11601.0
4485,104880.0,65.0,1.0,3.0,-34.907076,-56.156584,6,2019,Uruguay,Pocitos,Bartolito Mitre,Not found,Montevideo,11300.0
4486,139840.0,60.0,2.0,3.0,-34.910218,-56.198974,6,2019,Uruguay,Barrio Sur,Maldonado,Not found,Montevideo,11110.0
4487,152950.0,88.0,1.0,3.0,-34.904428,-56.204027,6,2019,Uruguay,Ciudad Vieja,Juan Carlos Gómez,Not found,Montevideo,11000.0
4488,138004.6,63.0,1.0,3.0,-34.881214,-56.157904,6,2019,Uruguay,Larrañaga,Monte Caseros,Not found,Montevideo,11820.0
4489,172090.6,85.0,2.0,3.0,-34.881249,-56.157517,6,2019,Uruguay,Larrañaga,Carlos Anaya,Not found,Montevideo,11820.0
4490,162564.0,95.0,2.0,4.0,-34.87713,-56.146789,6,2019,Uruguay,Unión,Felipe Sanguinetti,Not found,Montevideo,11820.0
4491,157320.0,127.0,2.0,2.0,-34.894925,-56.126533,5,2019,Uruguay,Buceo,Dalmiro Costa,Not found,Montevideo,11600.0
4492,157320.0,231.0,1.0,3.0,-34.891352,-56.131511,5,2019,Uruguay,Buceo,Magenta,Not found,Montevideo,11600.0
4493,415150.0,220.0,3.0,3.0,-34.885861,-56.066065,5,2019,Uruguay,Carrasco,Horacio Quiroga,Not found,Montevideo,11500.0
4494,348726.0,150.0,3.0,3.0,-34.885825,-56.066108,5,2019,Uruguay,Carrasco,Horacio Quiroga,Not found,Montevideo,11500.0
4495,91770.0,84.0,2.0,2.0,-34.889099,-56.171937,5,2019,Uruguay,La Comercial,Doctor Joaquín Requena,Not found,Montevideo,1200.0
4496,340860.0,106.0,2.0,3.0,-34.873257,-56.019888,5,2019,Uruguay,Barra de Carrasco,Rambla Costanera,Not found,Canelones,15000.0
4497,183540.0,67.0,1.0,2.0,-34.896949,-56.122456,5,2019,Uruguay,Buceo,Donizetti,Not found,Montevideo,11600.0
4498,130226.0,84.0,2.0,3.0,-34.903707,-56.187229,5,2019,Uruguay,Centro,Mercedes,Not found,Montevideo,11100.0
4499,128478.0,36.0,1.0,1.0,-34.906333,-56.139572,5,2019,Uruguay,La Mondiola,26 de Marzo,Not found,Montevideo,11300.0
4500,214130.0,60.0,2.0,2.0,-34.908898,-56.14269,5,2019,Uruguay,La Mondiola,Bulevar Juan Benito Blanco,Not found,Montevideo,11300.0
4501,152950.0,70.0,2.0,2.0,-34.904314,-56.151906,5,2019,Uruguay,Pocitos,Rafael Pastoriza,Not found,Montevideo,11300.0
4502,463220.0,140.0,3.0,4.0,-34.89276,-56.059585,5,2019,Uruguay,Carrasco,San Lucar,Not found,Montevideo,11500.0
4503,357466.0,152.0,3.0,2.0,-34.920524,-56.163824,5,2019,Uruguay,Punta Carretas,Avenida Julio María Sosa,Not found,Montevideo,11303.0
4504,76038.0,100.0,2.0,1.0,-34.773997,-55.760508,12,2019,Uruguay,Not found,República de Chile,Not found,Canelones,16000.0
4505,148580.0,40.0,1.0,1.0,-34.903953,-56.139536,12,2019,Uruguay,La Mondiola,Plácido Ellauri,Not found,Montevideo,11300.0
4506,131100.0,42.0,1.0,1.0,-34.928032,-54.893543,12,2019,Uruguay,Not found,Virgilio,Not found,Maldonado,20000.0
