Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
22672,90000.0,47.0,1.0,1.0,4.651,-74.05199999999999,7,2019,Colombia,Localidad Chapinero,Carrera 1,Not found,Not found,110231.0
22673,247500.0,178.0,4.0,3.0,4.669,-74.051,7,2019,Colombia,Localidad Chapinero,Calle 86,Not found,Not found,110221.0
22674,247500.0,182.0,4.0,2.0,4.657,-74.048,7,2019,Colombia,Localidad Chapinero,Carrera 1 Este,Not found,Not found,110221.0
22675,292500.0,145.0,4.0,2.0,4.684,-74.054,7,2019,Colombia,Localidad Chapinero,Calle 97,Not found,Not found,110221.0
22676,220500.0,109.0,3.0,2.0,4.674,-74.054,7,2019,Colombia,Localidad Chapinero,Carrera 16,Not found,Not found,110221.0
22677,54000.0,32.0,1.0,1.0,4.686,-74.053,7,2019,Colombia,Localidad Chapinero,Avenida Calle 100,Not found,Not found,110221.0
22678,267750.0,158.0,3.0,3.0,4.673,-74.058,7,2019,Colombia,Localidad Chapinero,Carrera 19B,Not found,Not found,110221.0
22679,178875.0,92.0,3.0,2.0,4.68,-74.055,7,2019,Colombia,Localidad Chapinero,Calle 93A,Not found,Not found,110221.0
22680,146227.5,185.0,4.0,4.0,4.664,-74.116,7,2019,Colombia,Localidad Fontibón,Calle 24C,Not found,Not found,110931.0
22681,168750.0,151.0,3.0,3.0,4.735,-74.074,7,2019,Colombia,Not found,Carrera 76,Not found,Not found,111156.0
22682,60750.0,50.0,1.0,2.0,4.704,-74.057,7,2019,Colombia,Not found,Calle 123,Not found,Not found,111111.0
22683,47250.0,59.0,2.0,3.0,4.752,-74.097,7,2019,Colombia,Not found,Carrera 109A,Not found,Not found,111161.0
22684,41625.0,49.0,2.0,3.0,4.75,-74.093,7,2019,Colombia,Not found,Carrera 103B Bis,Not found,Not found,111161.0
22685,270000.0,171.0,3.0,3.0,4.76,-74.061,7,2019,Colombia,Not found,Calle 173A,Not found,Not found,111166.0
22686,78750.0,55.0,2.0,1.0,4.73,-74.054,7,2019,Colombia,Not found,Carrera 51A,Not found,Not found,111156.0
22687,220500.0,296.0,4.0,4.0,4.718999999999999,-74.078,7,2019,Colombia,Not found,Carrera 78,Not found,Not found,111121.0
22688,87750.0,74.0,2.0,3.0,4.726,-74.066,7,2019,Colombia,Not found,Carrera 58A,Not found,Not found,111111.0
22689,78750.0,103.0,3.0,4.0,4.736000000000001,-74.061,7,2019,Colombia,Not found,Calle 152,Not found,Not found,111156.0
