Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province
131100.0,103.0,2.0,0.0,-12.0033547013,-77.083514727,03,2020,Perú,Lima
104880.0,120.0,2.0,2.0,-11.9419728,-77.0859452,03,2020,Perú,Lima
135470.0,92.0,2.0,2.0,-12.1367444,-77.0075344,03,2020,Perú,Lima
36708.0,56.0,2.0,2.0,-12.0009550193,-77.0850411423,03,2020,Perú,Lima
61092.6,120.0,2.0,3.0,-11.8531119,-77.0491143,03,2020,Perú,Lima
96140.0,170.0,2.0,3.0,-16.4129529,-71.5202636,03,2020,Perú,Arequipa
104880.0,82.0,2.0,3.0,-12.1051788,-76.9437026,03,2020,Perú,Lima
121486.0,77.0,2.0,3.0,-12.1115170599,-77.0278512688,03,2020,Perú,Lima
83030.0,75.0,2.0,3.0,-12.0565297218,-77.0470669921,03,2020,Perú,Lima
74290.0,84.0,2.0,3.0,-12.0032563,-76.9179994,03,2020,Perú,Lima
69920.0,71.0,2.0,3.0,-12.0458598311,-77.0506918116,03,2020,Perú,Lima
104880.0,119.0,2.0,3.0,-12.0622538,-77.0665705,03,2020,Perú,Lima
65100.0,83.0,2.0,3.0,-12.1655549,-76.973003,03,2020,Perú,Lima
156883.0,140.0,3.0,2.0,-12.0753791,-77.0575211,03,2020,Perú,Lima
69920.0,130.0,3.0,3.0,-16.4166078699,-71.5375435539,03,2020,Perú,Arequipa
109250.0,134.0,3.0,3.0,-11.9380481263,-77.0820359207,03,2020,Perú,Lima
110124.0,118.0,3.0,3.0,-12.1695822,-77.0107449,03,2020,Perú,Lima
109250.0,98.0,3.0,4.0,-13.5296702,-71.9001185,03,2020,Perú,Cusco
270940.0,160.0,3.0,6.0,-12.0246282103,-76.9992540955,03,2020,Perú,Lima
173926.0,108.0,4.0,3.0,-11.9581001,-76.9866229,03,2020,Perú,Lima
187910.0,188.0,4.0,3.0,-12.1136877,-76.9774856,03,2020,Perú,Lima
227240.0,200.0,4.0,4.0,-11.9710325241,-76.7853678603,03,2020,Perú,Lima
74290.0,140.0,4.0,4.0,-12.0552357,-77.0067142,03,2020,Perú,Lima
360962.0,130.0,4.0,4.0,-12.115871,-77.011211,03,2020,Perú,Lima
469075.8,183.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
491188.0,191.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
624647.8,225.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
476854.4,183.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
477204.0,187.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
275310.0,241.0,4.0,4.0,-12.1210958,-77.0204721,03,2020,Perú,Lima
275310.0,222.0,5.0,3.0,-12.1246585259,-76.9746053717,03,2020,Perú,Lima
