Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province,City,Rooms,TotalArea,PropertyType,OperationType
133722.0,160.0,5.0,5.0,-11.9529209782,-77.0486505942,2,2020,Perú,Lima,Lima,0.0,160.0,Casa,Venta
157320.0,120.0,4.0,5.0,-11.9553722,-77.0836307,2,2020,Perú,Lima,Lima,0.0,360.0,Casa,Venta
56810.0,112.0,3.0,5.0,-11.8688792,-77.0444711,2,2020,Perú,Lima,Lima,0.0,112.0,Casa,Venta
231347.8,115.0,3.0,5.0,-12.0864383,-76.9850764,2,2020,Perú,Lima,Lima,0.0,115.0,Departamento,Venta
515660.0,315.0,5.0,5.0,-12.067202,-77.0287347,2,2020,Perú,Lima,Lima,0.0,315.0,Local-comercial,Venta
111872.0,166.0,2.0,6.0,-11.9940576,-76.8266861,2,2020,Perú,Lima,Lima,0.0,166.0,Casa,Venta
515660.0,300.0,3.0,6.0,-12.135679,-77.0036665,2,2020,Perú,Lima,Lima,0.0,360.0,Casa,Venta
131100.0,120.0,5.0,7.0,-11.849526,-77.1152261,2,2020,Perú,Lima,Lima,0.0,120.0,Casa,Venta
155572.0,90.0,3.0,7.0,-11.9513182,-76.984595,2,2020,Perú,Lima,Lima,0.0,212.0,Casa,Venta
151202.0,188.0,6.0,9.0,-11.909566737,-77.0431456667,2,2020,Perú,Lima,Lima,0.0,337.0,Casa,Venta
64676.0,180.0,1.0,1.0,-18.0481686485,-70.244754319,2,2020,Perú,Tacna,Tacna,0.0,180.0,Casa,Venta
52440.0,134.0,1.0,1.0,-8.0977053,-79.1093372,2,2020,Perú,La-Libertad,Trujillo,0.0,134.0,Departamento,Venta
54188.0,50.0,1.0,2.0,-12.077557,-77.0252181,2,2020,Perú,Lima,Lima,0.0,50.0,Departamento,Venta
231610.0,190.0,1.0,2.0,-12.072203,-76.9905924,2,2020,Perú,Lima,Lima,0.0,190.0,Local-comercial,Venta
144210.0,90.0,1.0,2.0,-12.072203,-76.9905924,2,2020,Perú,Lima,Lima,0.0,90.0,Local-comercial,Venta
218500.0,161.0,1.0,3.0,-11.9962077,-77.0646695,2,2020,Perú,Lima,Lima,0.0,161.0,Casa,Venta
91770.0,69.0,1.0,3.0,-12.1416212,-76.9954666,2,2020,Perú,Lima,Lima,0.0,69.0,Departamento,Venta
39330.0,51.0,1.0,3.0,-11.8531942,-77.068029,2,2020,Perú,Lima,Lima,0.0,51.0,Departamento,Venta
32550.0,69.0,2.0,0.0,-11.8531942,-77.068029,2,2020,Perú,Lima,Lima,0.0,69.0,Departamento,Venta
122360.0,78.0,2.0,2.0,-13.0284331,-76.4865837,2,2020,Perú,Lima,Cañete,0.0,78.0,Lote,Venta
74290.0,102.0,2.0,2.0,-11.9435605,-77.0861586,2,2020,Perú,Lima,Lima,0.0,102.0,Departamento,Venta
83030.0,70.0,2.0,2.0,-12.0854716,-77.0884582,2,2020,Perú,Lima,Lima,0.0,70.0,Departamento,Venta
174800.0,80.0,2.0,2.0,-12.1277984063,-76.9751249397,2,2020,Perú,Lima,Lima,0.0,80.0,Departamento,Venta
90022.0,76.0,2.0,2.0,-12.0810373556,-76.9820953195,2,2020,Perú,Lima,Lima,0.0,76.0,Departamento,Venta
73853.0,96.0,2.0,2.0,-16.4220630062,-71.5114547291,2,2020,Perú,Arequipa,Arequipa,0.0,96.0,Departamento,Venta
249090.0,135.0,2.0,3.0,-12.1146763851,-76.9861152773,2,2020,Perú,Lima,Lima,0.0,135.0,Departamento,Venta
170430.0,99.0,2.0,3.0,-12.1288893,-76.9764124,2,2020,Perú,Lima,Lima,0.0,99.0,Departamento,Venta
231610.0,132.0,2.0,3.0,-12.1138250338,-76.9870517547,2,2020,Perú,Lima,Lima,0.0,132.0,Departamento,Venta
202768.0,135.0,2.0,3.0,-12.1277984063,-76.9751249397,2,2020,Perú,Lima,Lima,0.0,135.0,Departamento,Venta
173926.0,110.0,2.0,3.0,-12.0897365,-77.0631474,2,2020,Perú,Lima,Lima,0.0,110.0,Departamento,Venta
231610.0,128.0,2.0,3.0,-12.1138250338,-76.9870517547,2,2020,Perú,Lima,Lima,0.0,128.0,Departamento,Venta
231610.0,136.0,2.0,3.0,-12.1138250338,-76.9870517547,2,2020,Perú,Lima,Lima,0.0,136.0,Departamento,Venta
215004.0,145.0,2.0,3.0,-12.1277984063,-76.9751249397,2,2020,Perú,Lima,Lima,0.0,145.0,Departamento,Venta
117116.0,87.0,2.0,3.0,-12.0765361,-77.0507333,2,2020,Perú,Lima,Lima,0.0,87.0,Departamento,Venta
