start: 
Current Time = 04:18:45
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (24471, 9)
Device used : cuda
epoch 52 | loss: 220370102632.4271| val_0_rmse: 468358.14271| val_0_mse: 219359349843.7286| val_0_mae: 442011.71971| val_1_rmse: 468687.05635| val_1_mse: 219667556788.415| val_1_mae: 442727.28209|  0:01:25s
epoch 53 | loss: 220046776378.0659| val_0_rmse: 469152.34661| val_0_mse: 220103924333.8198| val_0_mae: 442741.62115| val_1_rmse: 469421.4142| val_1_mse: 220356464106.78357| val_1_mae: 443396.45271|  0:01:26s
epoch 54 | loss: 219721401897.7185| val_0_rmse: 466545.96407| val_0_mse: 217665136586.5189| val_0_mae: 440241.67662| val_1_rmse: 466924.97371| val_1_mse: 218018931074.6588| val_1_mae: 440993.81322|  0:01:28s
epoch 55 | loss: 219439370504.6968| val_0_rmse: 467002.79348| val_0_mse: 218091609122.15997| val_0_mae: 440614.5456| val_1_rmse: 467244.3808| val_1_mse: 218317311393.81393| val_1_mae: 441210.2464|  0:01:29s
epoch 56 | loss: 219189181396.84293| val_0_rmse: 470374.29276| val_0_mse: 221251975289.0762| val_0_mae: 444033.77537| val_1_rmse: 470645.36191| val_1_mse: 221507056691.3824| val_1_mae: 444684.30297|  0:01:31s
epoch 57 | loss: 218900761118.47153| val_0_rmse: 467056.24906| val_0_mse: 218141539783.4011| val_0_mae: 440817.72898| val_1_rmse: 467310.27691| val_1_mse: 218378894902.53772| val_1_mae: 441483.04349|  0:01:32s
epoch 58 | loss: 218567467181.6746| val_0_rmse: 465568.09195| val_0_mse: 216753648237.33032| val_0_mae: 439381.39872| val_1_rmse: 465893.28641| val_1_mse: 217056554319.01608| val_1_mae: 440080.33896|  0:01:34s
epoch 59 | loss: 218234350660.7898| val_0_rmse: 466428.31665| val_0_mse: 217555374575.05673| val_0_mae: 440403.091| val_1_rmse: 466674.97242| val_1_mse: 217785529880.3508| val_1_mae: 441034.53702|  0:01:36s
epoch 60 | loss: 217859991556.70804| val_0_rmse: 462970.60373| val_0_mse: 214341779921.35492| val_0_mae: 436726.2426| val_1_rmse: 463308.2721| val_1_mse: 214654554997.26065| val_1_mae: 437438.4373|  0:01:37s
epoch 61 | loss: 217501102526.74124| val_0_rmse: 469108.7151| val_0_mse: 220062986582.07092| val_0_mae: 442731.91606| val_1_rmse: 469404.83989| val_1_mse: 220340903708.71365| val_1_mae: 443406.41311|  0:01:39s
epoch 62 | loss: 217114690322.7668| val_0_rmse: 464739.56492| val_0_mse: 215982863204.8695| val_0_mae: 438850.43061| val_1_rmse: 464991.38581| val_1_mse: 216216988879.53345| val_1_mae: 439505.95112|  0:01:40s
