start: 
Current Time = 04:38:46
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (26510, 9)
Device used : cuda
epoch 37 | loss: 141359934155.8222| val_0_rmse: 376021.85843| val_0_mse: 141392438019.4692| val_0_mae: 347148.81366| val_1_rmse: 374254.91363| val_1_mse: 140066740378.88568| val_1_mae: 345154.0736|  0:01:38s
epoch 38 | loss: 141159238367.13617| val_0_rmse: 375459.55128| val_0_mse: 140969874645.59534| val_0_mae: 346649.1482| val_1_rmse: 373674.14229| val_1_mse: 139632364616.8963| val_1_mae: 344646.24204|  0:01:41s
epoch 39 | loss: 140965099828.78134| val_0_rmse: 374568.38809| val_0_mse: 140301477353.4848| val_0_mae: 345783.70463| val_1_rmse: 372790.39887| val_1_mse: 138972681493.20056| val_1_mae: 343793.61525|  0:01:43s
epoch 40 | loss: 140757398465.3505| val_0_rmse: 375279.86376| val_0_mse: 140834976140.9789| val_0_mae: 346540.93018| val_1_rmse: 373482.64594| val_1_mse: 139489286814.67734| val_1_mae: 344523.2541|  0:01:46s
epoch 41 | loss: 140529309340.38242| val_0_rmse: 374444.07993| val_0_mse: 140208368996.23196| val_0_mae: 345858.19881| val_1_rmse: 372683.88878| val_1_mse: 138893280956.38416| val_1_mae: 343863.21954|  0:01:49s
epoch 42 | loss: 140320162151.23895| val_0_rmse: 374557.83369| val_0_mse: 140293570775.76376| val_0_mae: 345886.78899| val_1_rmse: 372816.9358| val_1_mse: 138992467622.87613| val_1_mae: 343914.66569|  0:01:51s
epoch 43 | loss: 140092215056.9902| val_0_rmse: 373290.99431| val_0_mse: 139346166436.1811| val_0_mae: 344776.03557| val_1_rmse: 371563.86544| val_1_mse: 138059706102.53912| val_1_mae: 342796.00143|  0:01:53s
epoch 44 | loss: 139877636930.12| val_0_rmse: 374075.0402| val_0_mse: 139932135699.69302| val_0_mae: 345351.90946| val_1_rmse: 372272.38175| val_1_mse: 138586726214.9298| val_1_mae: 343329.44322|  0:01:56s
epoch 45 | loss: 139649200429.78003| val_0_rmse: 375173.96181| val_0_mse: 140755501621.70224| val_0_mae: 346384.93478| val_1_rmse: 373343.10469| val_1_mse: 139385073819.62772| val_1_mae: 344335.7894|  0:01:58s
epoch 46 | loss: 139407709251.71945| val_0_rmse: 372666.57529| val_0_mse: 138880376336.84708| val_0_mae: 344159.61496| val_1_rmse: 370960.23918| val_1_mse: 137611499051.21512| val_1_mae: 342215.3354|  0:02:01s
epoch 47 | loss: 139170713670.01294| val_0_rmse: 372605.32029| val_0_mse: 138834724711.31073| val_0_mae: 344080.51907| val_1_rmse: 370875.23321| val_1_mse: 137548438610.11234| val_1_mae: 342117.57068|  0:02:03s
epoch 48 | loss: 138930502440.0462| val_0_rmse: 374611.61033| val_0_mse: 140333858595.54825| val_0_mae: 345897.47754| val_1_rmse: 372795.17917| val_1_mse: 138976245614.07172| val_1_mae: 343871.04693|  0:02:06s
epoch 49 | loss: 138685665406.02335| val_0_rmse: 372822.18341| val_0_mse: 138996380446.18| val_0_mae: 344390.09197| val_1_rmse: 371081.80461| val_1_mse: 137701705716.19495| val_1_mae: 342419.01399|  0:02:08s
epoch 50 | loss: 138467621182.43826| val_0_rmse: 370964.56002| val_0_mse: 137614704793.7899| val_0_mae: 342530.72564| val_1_rmse: 369255.65285| val_1_mse: 136349737158.75836| val_1_mae: 340574.85595|  0:02:11s
