start: 
Current Time = 03:18:07
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, train/test division is 60/20/20
Dataset total size after normalization: (24471, 9)
TABNET LOGS:

Starting training: 
Current Time = 03:18:07
Device used : cuda
epoch 43 | loss: 223812899683.63113| val_0_rmse: 473294.18788| val_0_mse: 224007388276.9748| val_0_mae: 446908.15096| val_1_rmse: 470134.52181| val_1_mse: 221026468600.0749| val_1_mae: 444194.65475|  0:00:57s
epoch 44 | loss: 223601599277.5088| val_0_rmse: 474513.99193| val_0_mse: 225163528539.2833| val_0_mae: 447710.71408| val_1_rmse: 471332.40618| val_1_mse: 222154237114.36365| val_1_mae: 444992.1808|  0:00:59s
epoch 45 | loss: 223356087782.6825| val_0_rmse: 473074.39867| val_0_mse: 223799386679.41745| val_0_mae: 446548.83641| val_1_rmse: 469932.06036| val_1_mse: 220836141354.6118| val_1_mae: 443864.51233|  0:01:00s
epoch 46 | loss: 223091563958.13977| val_0_rmse: 472627.14722| val_0_mse: 223376420286.68| val_0_mae: 446264.83389| val_1_rmse: 469482.4267| val_1_mse: 220413748978.9201| val_1_mae: 443566.94789|  0:01:01s
epoch 47 | loss: 222841819657.6946| val_0_rmse: 470620.45589| val_0_mse: 221483613499.839| val_0_mae: 444237.93711| val_1_rmse: 467490.22385| val_1_mse: 218547109393.95383| val_1_mae: 441574.45891|  0:01:03s
epoch 48 | loss: 222575264330.97617| val_0_rmse: 471447.63477| val_0_mse: 222262872334.65112| val_0_mae: 445113.2459| val_1_rmse: 468274.63808| val_1_mse: 219281136666.9177| val_1_mae: 442392.3038|  0:01:04s
epoch 49 | loss: 222328276305.4276| val_0_rmse: 472128.30769| val_0_mse: 222905138924.85715| val_0_mae: 445848.98939| val_1_rmse: 468925.88907| val_1_mse: 219891489442.40988| val_1_mae: 443104.99384|  0:01:06s
epoch 50 | loss: 222078757885.90765| val_0_rmse: 472139.15771| val_0_mse: 222915384242.74307| val_0_mae: 445604.77792| val_1_rmse: 468963.07864| val_1_mse: 219926369131.16016| val_1_mae: 442899.72457|  0:01:07s
epoch 51 | loss: 221833971308.87234| val_0_rmse: 469550.2973| val_0_mse: 220477481698.5783| val_0_mae: 443228.69501| val_1_rmse: 466378.71787| val_1_mse: 217509108477.97812| val_1_mae: 440526.99722|  0:01:08s
epoch 52 | loss: 221564825926.40784| val_0_rmse: 471707.86931| val_0_mse: 222508313964.74448| val_0_mae: 445369.42971| val_1_rmse: 468519.4119| val_1_mse: 219510439328.00064| val_1_mae: 442631.90006|  0:01:10s
epoch 53 | loss: 221294535487.3636| val_0_rmse: 470116.96429| val_0_mse: 221009960114.23535| val_0_mae: 444072.70934| val_1_rmse: 466988.51737| val_1_mse: 218078275357.9235| val_1_mae: 441392.63999|  0:01:11s
epoch 54 | loss: 221018470512.98734| val_0_rmse: 469802.64979| val_0_mse: 220714529747.83813| val_0_mae: 443721.09065| val_1_rmse: 466653.36318| val_1_mse: 217765361370.40787| val_1_mae: 441027.32053|  0:01:12s
epoch 55 | loss: 220763599578.37244| val_0_rmse: 469794.13673| val_0_mse: 220706530901.64856| val_0_mae: 443576.60062| val_1_rmse: 466628.8923| val_1_mse: 217742523132.29263| val_1_mae: 440857.29983|  0:01:14s
epoch 56 | loss: 220451458861.6483| val_0_rmse: 469295.92079| val_0_mse: 220238661270.95203| val_0_mae: 443091.4622| val_1_rmse: 466169.38498| val_1_mse: 217313895491.64075| val_1_mae: 440421.30198|  0:01:15s
epoch 57 | loss: 220172074374.15503| val_0_rmse: 467663.83447| val_0_mse: 218709462069.76224| val_0_mae: 441488.0617| val_1_rmse: 464505.7076| val_1_mse: 215765552395.25552| val_1_mae: 438799.60916|  0:01:16s
epoch 58 | loss: 219902026215.6589| val_0_rmse: 469191.08888| val_0_mse: 220140277881.33545| val_0_mae: 443048.29209| val_1_rmse: 466043.44065| val_1_mse: 217196488569.5428| val_1_mae: 440362.77841|  0:01:18s
epoch 59 | loss: 219593878253.62213| val_0_rmse: 468556.14111| val_0_mse: 219544857376.3774| val_0_mae: 442518.25729| val_1_rmse: 465423.15038| val_1_mse: 216618708913.72363| val_1_mae: 439845.60882|  0:01:19s
epoch 60 | loss: 219309235231.94333| val_0_rmse: 468326.51328| val_0_mse: 219329723042.23245| val_0_mae: 442291.43815| val_1_rmse: 465217.76312| val_1_mse: 216427567123.1642| val_1_mae: 439638.97096|  0:01:20s
epoch 61 | loss: 219055871042.81595| val_0_rmse: 466480.77825| val_0_mse: 217604316474.0794| val_0_mae: 440472.829| val_1_rmse: 463312.48103| val_1_mse: 214658455075.90945| val_1_mae: 437767.31629|  0:01:22s
epoch 62 | loss: 218749949151.04535| val_0_rmse: 468227.46454| val_0_mse: 219236958550.0617| val_0_mae: 442257.15284| val_1_rmse: 465035.69394| val_1_mse: 216258196637.38565| val_1_mae: 439511.82081|  0:01:23s
epoch 63 | loss: 218432570098.3648| val_0_rmse: 467139.09253| val_0_mse: 218218931773.4997| val_0_mae: 441193.51649| val_1_rmse: 463976.61186| val_1_mse: 215274296350.06784| val_1_mae: 438469.18825|  0:01:24s
epoch 64 | loss: 218157444384.04797| val_0_rmse: 465933.5201| val_0_mse: 217094045155.5028| val_0_mae: 440045.40456| val_1_rmse: 462812.3902| val_1_mse: 214195308521.13425| val_1_mae: 437367.94014|  0:01:26s
epoch 65 | loss: 217809853695.12817| val_0_rmse: 466043.74108| val_0_mse: 217196768602.468| val_0_mae: 440197.7971| val_1_rmse: 462907.84213| val_1_mse: 214283670302.50137| val_1_mae: 437515.93801|  0:01:27s
epoch 66 | loss: 217478664633.34805| val_0_rmse: 465105.41898| val_0_mse: 216323050769.14865| val_0_mae: 439128.28839| val_1_rmse: 461995.83335| val_1_mse: 213440150032.42328| val_1_mae: 436482.58806|  0:01:28s
epoch 67 | loss: 217157517642.31357| val_0_rmse: 465083.21419| val_0_mse: 216302396123.4716| val_0_mae: 439219.9242| val_1_rmse: 461945.84966| val_1_mse: 213393968017.8523| val_1_mae: 436546.76282|  0:01:30s
